id,brightness,url,,
nasa_techdoc_19750006687,244.0677899,"<a href=""http://www.archive.org/details/nasa_techdoc_19750006687"">link</a>",,
arxiv-astro-ph0009490,243.9904454,"<a href=""http://www.archive.org/details/arxiv-astro-ph0009490"">link</a>",,
jstor-40692202,243.9639338,"<a href=""http://www.archive.org/details/jstor-40692202"">link</a>",,
arxiv-astro-ph9906496,243.9473504,"<a href=""http://www.archive.org/details/arxiv-astro-ph9906496"">link</a>",,
nasa_techdoc_19730014390,243.9257748,"<a href=""http://www.archive.org/details/nasa_techdoc_19730014390"">link</a>",,
nasa_techdoc_19750007327,243.8996063,"<a href=""http://www.archive.org/details/nasa_techdoc_19750007327"">link</a>",,
nasa_techdoc_20010054789,243.8139282,"<a href=""http://www.archive.org/details/nasa_techdoc_20010054789"">link</a>",,
arxiv-astro-ph9702035,243.8077799,"<a href=""http://www.archive.org/details/arxiv-astro-ph9702035"">link</a>",,
nasa_techdoc_19820008230,243.7477966,"<a href=""http://www.archive.org/details/nasa_techdoc_19820008230"">link</a>",,
nasa_techdoc_19900012403,243.7159047,"<a href=""http://www.archive.org/details/nasa_techdoc_19900012403"">link</a>",,
nasa_techdoc_19730010106,243.7052667,"<a href=""http://www.archive.org/details/nasa_techdoc_19730010106"">link</a>",,
nasa_techdoc_19730016112,243.7029243,"<a href=""http://www.archive.org/details/nasa_techdoc_19730016112"">link</a>",,
nasa_techdoc_19740015155,243.6131034,"<a href=""http://www.archive.org/details/nasa_techdoc_19740015155"">link</a>",,
nasa_techdoc_20040171439,243.610234,"<a href=""http://www.archive.org/details/nasa_techdoc_20040171439"">link</a>",,
nasa_techdoc_20000057501,243.5436848,"<a href=""http://www.archive.org/details/nasa_techdoc_20000057501"">link</a>",,
jstor-40691603,243.5263692,"<a href=""http://www.archive.org/details/jstor-40691603"">link</a>",,
nasa_techdoc_20000073239,243.5031747,"<a href=""http://www.archive.org/details/nasa_techdoc_20000073239"">link</a>",,
arxiv-astro-ph0009436,243.5008493,"<a href=""http://www.archive.org/details/arxiv-astro-ph0009436"">link</a>",,
nasa_techdoc_19910005074,243.4570186,"<a href=""http://www.archive.org/details/nasa_techdoc_19910005074"">link</a>",,
nasa_techdoc_19750005699,243.4343143,"<a href=""http://www.archive.org/details/nasa_techdoc_19750005699"">link</a>",,
arxiv-astro-ph9702018,243.3884334,"<a href=""http://www.archive.org/details/arxiv-astro-ph9702018"">link</a>",,
nasa_techdoc_20010068806,243.3113484,"<a href=""http://www.archive.org/details/nasa_techdoc_20010068806"">link</a>",,
arxiv-1005.4458,243.2966451,"<a href=""http://www.archive.org/details/arxiv-1005.4458"">link</a>",,
nasa_techdoc_20050168114,243.2482484,"<a href=""http://www.archive.org/details/nasa_techdoc_20050168114"">link</a>",,
